GP,G,A,PTS,+/-,PS,PIM,SH,GWG,Player URL
1101,324,485,809,104,69.9,609,2205,40,https://www.hockey-reference.com/players/m/martipi01.html
860,256,551,807,221,58.2,1725,1635,29,https://www.hockey-reference.com/players/l/linseke01.html
1058,223,583,806,-36,76.4,525,2517,31,https://www.hockey-reference.com/players/v/voracja01.html
1020,375,430,805,101,95.0,316,2667,59,https://www.hockey-reference.com/players/h/hejdumi01.html
1060,437,368,805,-11,102.6,750,3624,73,https://www.hockey-reference.com/players/n/nashri01.html
1105,413,391,804,-131,67.8,1075,3429,54,https://www.hockey-reference.com/players/u/ungerga01.html
880,328,472,800,260,75.8,777,2128,57,https://www.hockey-reference.com/players/h/hodgeke01.html
1048,367,432,799,118,70.6,1463,3087,55,https://www.hockey-reference.com/players/c/courtge01.html
1264,320,477,797,110,89.0,766,3308,44,https://www.hockey-reference.com/players/w/williju01.html
736,295,501,796,119,91.2,328,2892,56,https://www.hockey-reference.com/players/m/mackina01.html
1031,342,452,794,-65,60.5,874,2576,36,https://www.hockey-reference.com/players/o/olczyed01.html
1027,277,516,793,278,62.0,1039,1747,37,https://www.hockey-reference.com/players/c/cashmwa01.html
1074,228,565,793,5,79.0,577,1581,32,https://www.hockey-reference.com/players/r/ribeimi01.html
869,372,419,791,38,95.2,620,2565,64,https://www.hockey-reference.com/players/h/heatlda01.html
1029,373,416,789,5,95.9,547,2609,56,https://www.hockey-reference.com/players/v/vanekth01.html
876,441,347,788,-79,65.4,1445,2603,52,https://www.hockey-reference.com/players/v/vaiveri01.html
1148,150,637,787,170,112.8,1344,2539,13,https://www.hockey-reference.com/players/s/salmibo01.html
1032,231,555,786,166,84.0,359,1848,43,https://www.hockey-reference.com/players/k/krejcda01.html
1215,379,407,786,14,67.0,1777,3650,58,https://www.hockey-reference.com/players/l/lemiecl01.html
850,337,444,781,-83,84.2,401,2828,49,https://www.hockey-reference.com/players/y/yashial01.html
946,184,596,780,-91,117.6,438,2632,34,https://www.hockey-reference.com/players/k/karlser01.html
702,437,342,779,42,93.1,484,3130,59,https://www.hockey-reference.com/players/b/burepa01.html
1270,240,537,777,-4,127.5,1679,3896,41,https://www.hockey-reference.com/players/b/blakero01.html
672,295,481,776,126,93.1,327,2047,46,https://www.hockey-reference.com/players/k/kucheni01.html
662,317,458,775,25,88.9,254,1761,55,https://www.hockey-reference.com/players/d/draisle01.html
998,391,383,774,49,70.1,413,2784,57,https://www.hockey-reference.com/players/p/pronoje01.html
1009,340,433,773,-64,54.4,284,2167,35,https://www.hockey-reference.com/players/c/chrisda01.html
883,288,485,773,234,68.9,916,2089,38,https://www.hockey-reference.com/players/m/mahovpe01.html
1068,152,619,771,148,136.8,337,2266,22,https://www.hockey-reference.com/players/z/zubovse01.html
1159,314,456,770,-44,77.4,1478,2411,41,https://www.hockey-reference.com/players/b/bertuto01.html
847,304,464,768,124,90.0,284,2160,59,https://www.hockey-reference.com/players/d/demitpa01.html
906,371,396,767,-76,61.7,120,2631,34,https://www.hockey-reference.com/players/k/kehoeri01.html
1108,255,510,765,-57,74.5,581,2417,34,https://www.hockey-reference.com/players/p/prospva01.html
1001,322,442,764,-88,79.9,272,2454,45,https://www.hockey-reference.com/players/d/duchema01.html
1256,342,419,761,65,80.4,472,3836,72,https://www.hockey-reference.com/players/r/rolstbr01.html
1188,355,405,760,-24,61.1,2229,2769,56,https://www.hockey-reference.com/players/d/dineeke01.html
1071,266,493,759,125,55.8,524,1909,42,https://www.hockey-reference.com/players/c/cravemu01.html
846,349,410,759,154,66.5,434,2605,51,https://www.hockey-reference.com/players/m/macleri01.html
866,292,466,758,36,60.6,424,1513,46,https://www.hockey-reference.com/players/r/ridlemi01.html
1181,342,415,757,-40,68.3,448,3501,50,https://www.hockey-reference.com/players/y/youngsc01.html
1079,181,575,756,-1,69.2,655,2514,33,https://www.hockey-reference.com/players/g/gomezsc01.html
927,335,419,754,67,91.4,283,3068,58,https://www.hockey-reference.com/players/s/seguity01.html
1113,227,525,752,89,112.7,824,2542,30,https://www.hockey-reference.com/players/d/duchest01.html
760,188,563,751,-13,58.4,170,1057,32,https://www.hockey-reference.com/players/j/jannecr01.html
1231,321,429,750,-132,71.7,1071,3343,54,https://www.hockey-reference.com/players/j/jokinol01.html
1314,326,421,747,115,72.1,1423,3345,58,https://www.hockey-reference.com/players/h/holikbo01.html
1011,290,457,747,93,81.3,587,2129,52,https://www.hockey-reference.com/players/s/sullist01.html
1029,297,447,744,-3,57.2,557,2791,40,https://www.hockey-reference.com/players/c/courtru01.html
1056,355,388,743,-48,62.5,321,2325,31,https://www.hockey-reference.com/players/a/adamsgr02.html
1289,223,520,743,66,132.8,1245,3092,36,https://www.hockey-reference.com/players/s/schnema01.html
929,197,545,742,400,111.9,455,2132,23,https://www.hockey-reference.com/players/h/howema02.html
1263,172,568,740,167,141.0,784,2436,39,https://www.hockey-reference.com/players/n/niedesc01.html
1050,363,372,735,20,82.3,464,2582,50,https://www.hockey-reference.com/players/s/satanmi01.html
1081,300,434,734,12,79.8,803,2312,43,https://www.hockey-reference.com/players/p/perroda01.html
1110,268,465,733,-78,73.4,314,1516,32,https://www.hockey-reference.com/players/b/brunean01.html
1015,204,528,732,-73,57.9,410,1515,28,https://www.hockey-reference.com/players/c/cassean01.html
1516,266,465,731,-24,66.0,592,2774,37,https://www.hockey-reference.com/players/c/cullema01.html
1178,320,408,728,-82,46.1,919,2647,40,https://www.hockey-reference.com/players/c/carpebo01.html
1127,274,454,728,-169,54.2,315,2907,34,https://www.hockey-reference.com/players/o/olivemu01.html
1018,355,372,727,98,56.2,2047,2124,50,https://www.hockey-reference.com/players/f/foligmi01.html
1060,293,434,727,44,79.5,199,2773,38,https://www.hockey-reference.com/players/p/pominja01.html
1025,278,449,727,-20,73.7,489,2097,47,https://www.hockey-reference.com/players/s/stillco01.html
1128,307,419,726,125,62.0,215,2428,48,https://www.hockey-reference.com/players/n/nevinbo01.html
874,329,397,726,-103,60.5,1470,2331,35,https://www.hockey-reference.com/players/s/steveke01.html
1018,268,456,724,-6,71.5,158,2276,37,https://www.hockey-reference.com/players/o/oreilry01.html
1195,142,581,723,-216,86.6,970,2791,20,https://www.hockey-reference.com/players/b/babycda01.html
1017,323,398,721,58,82.9,455,2747,58,https://www.hockey-reference.com/players/s/sykorpe01.html
946,318,401,719,-65,60.9,1018,2358,36,https://www.hockey-reference.com/players/g/gagneda01.html
807,249,470,719,10,68.0,668,2078,34,https://www.hockey-reference.com/players/z/zhamnal01.html
982,310,407,717,-21,65.1,708,2207,39,https://www.hockey-reference.com/players/n/nedvepe01.html
954,257,460,717,67,67.3,360,1713,40,https://www.hockey-reference.com/players/s/strakma01.html
1188,296,417,713,101,66.0,726,1748,43,https://www.hockey-reference.com/players/a/armstge01.html
684,329,384,713,83,88.0,322,2136,45,https://www.hockey-reference.com/players/p/palffzi01.html
1296,325,387,712,-36,72.8,738,3360,42,https://www.hockey-reference.com/players/b/browndu01.html
1004,323,389,712,22,61.4,1159,2874,45,https://www.hockey-reference.com/players/h/hadfivi01.html
1035,206,505,711,68,70.3,594,2273,33,https://www.hockey-reference.com/players/k/koivumi01.html
712,342,369,711,115,60.5,544,1531,42,https://www.hockey-reference.com/players/s/simmech01.html
