Rank,Player,Years,PTS,GP,G,A,+/-,PS,PIM,SH,GWG,Player URL
129,Connor McDavid,2015-24,886,592,313,573,116,104.3,233,2013,64,https://www.hockey-reference.com/players/m/mcdavco01.html
130,Peter Forsberg,1994-11,885,708,249,636,238,98.0,690,1693,43,https://www.hockey-reference.com/players/f/forsbpe01.html
131,Owen Nolan,1990-10,885,1200,422,463,-40,91.6,1793,3128,53,https://www.hockey-reference.com/players/n/nolanow01.html
132,Bill Barber,1972-84,883,903,420,463,312,81.3,623,3246,54,https://www.hockey-reference.com/players/b/barbebi01.html
133,Jonathan Toews,2007-23,883,1067,372,511,148,103.6,607,2695,69,https://www.hockey-reference.com/players/t/toewsjo01.html
134,Zach Parise,2005-23,879,1224,429,450,83,107.7,436,3726,82,https://www.hockey-reference.com/players/p/parisza01.html
135,Dennis Maruk,1975-89,878,888,356,522,-78,66.3,761,2229,26,https://www.hockey-reference.com/players/m/marukde01.html
136,Ilya Kovalchuk,2001-20,876,926,443,433,-146,103.4,544,3223,64,https://www.hockey-reference.com/players/k/kovalil01.html
137,Markus Näslund,1993-09,869,1117,395,474,6,95.5,736,3046,53,https://www.hockey-reference.com/players/n/nasluma02.html
138,Cliff Ronning,1986-04,869,1137,306,563,46,78.1,453,2804,34,https://www.hockey-reference.com/players/r/ronnicl01.html
139,Trevor Linden,1988-08,867,1382,375,492,-64,73.3,895,2704,41,https://www.hockey-reference.com/players/l/lindetr01.html
140,Jamie Benn,2009-24,866,1056,367,499,73,103.1,785,2783,55,https://www.hockey-reference.com/players/b/bennja01.html
141,Ivan Boldirev,1970-85,866,1052,361,505,-197,62.7,507,2515,42,https://www.hockey-reference.com/players/b/boldiiv01.html
142,Eric Lindros,1992-07,865,760,372,493,215,101.6,1398,2312,46,https://www.hockey-reference.com/players/l/lindrer01.html
143,Yvan Cournoyer,1963-79,863,968,428,435,254,91.3,233,2427,68,https://www.hockey-reference.com/players/c/cournyv01.html
144,Alex Tanguay,1999-16,863,1088,283,580,163,95.2,527,1525,43,https://www.hockey-reference.com/players/t/tangual01.html
145,Dean Prentice,1952-74,860,1378,391,469,-82,72.2,487,2577,47,https://www.hockey-reference.com/players/p/prentde01.html
146,Bill Guerin,1991-10,856,1263,429,427,51,94.3,1660,3693,77,https://www.hockey-reference.com/players/g/gueribi01.html
147,Tomas Sandström,1984-99,856,983,394,462,8,71.4,1193,2740,44,https://www.hockey-reference.com/players/s/sandsto01.html
148,Vyacheslav Kozlov,1991-10,853,1182,356,497,96,88.4,704,2843,56,https://www.hockey-reference.com/players/k/kozlovy01.html
149,Brent Burns,2003-24,851,1360,250,601,-7,144.1,813,3755,42,https://www.hockey-reference.com/players/b/burnsbr01.html
