Rank,Player,YRS PL,GM/YR,PTS/GM,GLS/GM,AST/GM,Correlation Games to Points
229,Andrew Brunette,17,65.29,0.66,0.24,0.42,98.88
230,Andrew Cassels,17,59.71,0.72,0.2,0.52,82.79
231,Matt Cullen,22,68.91,0.48,0.18,0.31,142.91
232,Bobby Carpenter,18,65.44,0.62,0.27,0.35,105.9
233,Murray Oliver,18,62.61,0.65,0.24,0.4,96.93
234,Mike Foligno,15,67.87,0.71,0.35,0.37,95.03
235,Jason Pominville,16,66.25,0.69,0.28,0.41,96.6
236,Cory Stillman,17,60.29,0.71,0.27,0.44,85.01
237,Bob Nevin,19,59.37,0.64,0.27,0.37,92.24
238,Kevin Stevens,15,58.27,0.83,0.38,0.45,70.14
239,Ryan O'Reilly,15,67.87,0.71,0.26,0.45,95.43
240,Dave Babych,19,62.89,0.61,0.12,0.49,103.95
241,Petr Sýkora,17,59.82,0.71,0.32,0.39,84.38
242,Dave Gagner,15,63.07,0.76,0.34,0.42,82.98
243,Alexei Zhamnov,14,57.64,0.89,0.31,0.58,64.7
244,Petr Nedvěd,17,57.76,0.73,0.32,0.41,79.11
245,Martin Straka,16,59.62,0.75,0.27,0.48,79.33
246,George Armstrong,22,54.0,0.6,0.25,0.35,89.97
247,Ziggy Pálffy,13,52.62,1.04,0.48,0.56,50.48
248,Dustin Brown,19,68.21,0.55,0.25,0.3,124.16
249,Vic Hadfield,16,62.75,0.71,0.32,0.39,88.48
250,Mikko Koivu,16,64.69,0.69,0.2,0.49,94.17
251,Charlie Simmer,14,50.86,1.0,0.48,0.52,50.93
